MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,72.53785,24.659796,10.270194,7.129773,7.3111424,6.333735,2.0476162,17.444315,4.1676917,11.357777,6.733932,9.385896,20.725487,80.15675,51.418594,5.120163,1.1413996,0.45174468,30.37756,2.1982777,2.4971669,4.775288,0.24292924,10.445883,9.36721,7.5127416,0.7248639,2.0292177,0.868116,6.686911,0.19211406,68.76845,14.665942,1.4550633,7.734984,19.777737
FEB,55.118515,46.827995,18.747793,16.053787,22.172752,28.164806,15.505696,23.435242,13.5092945,49.493973,0.86546075,1.266692,52.534973,177.46027,134.19717,35.89225,35.711105,6.159332,39.679066,4.964486,9.140906,6.127202,4.7758126,7.646412,49.43025,20.931787,4.0066743,3.3684318,35.789597,31.773035,29.567448,189.25467,3.9807594,28.958332,19.575523,71.55884
MAR,34.03277,112.743195,46.302563,0.49445474,35.90535,11.333509,12.068598,19.134127,4.6642923,6.9294753,13.548629,4.954342,5.88505,79.04389,39.002872,15.737015,53.0831,5.7818193,40.25204,1.3705945,0.90814173,59.039505,2.3225663,1.5115166,11.759455,5.543343,0.37710634,15.461346,31.775087,29.540718,1.4616928,29.295847,6.9447913,10.699811,4.370473,10.495566
APR,44.32157,186.50412,110.976845,18.885088,27.481773,44.451244,24.365519,10.59154,0.15981951,7.965028,47.09676,4.0923085,2.774084,25.753122,45.897995,20.861248,52.48695,6.776898,10.915897,8.251944,7.5129566,47.68949,25.633286,43.38227,4.873887,22.293337,4.0408025,33.57805,61.17349,17.131334,24.407318,16.169651,1.9139636,1.1933494,2.5491595,3.6014214
MAY,514.6394,324.39508,342.61032,77.29611,29.381268,30.344122,117.722374,6.350758,5.5592422,3.2050705,165.9902,9.405012,0.56304944,41.856754,47.425667,79.601234,119.71563,36.535637,84.12038,7.1305003,8.034796,340.9406,47.67059,48.510124,4.3394194,38.104137,7.9497776,100.34103,302.38605,40.158176,8.506586,25.668098,3.5820875,6.098501,2.8695712,4.431342
JUN,781.29626,287.08667,273.02838,177.79565,248.91452,130.46756,1120.7054,294.36032,89.164764,314.772,239.98767,149.5308,60.205208,225.67104,81.06331,181.34479,1043.5814,1027.9132,431.32477,215.64671,159.1963,219.51901,99.55535,273.5308,119.083855,71.48169,129.00452,168.78447,402.32153,56.20672,211.2475,491.1572,367.1782,262.96127,36.545464,186.50496
JUL,569.47626,311.4214,365.66388,194.23923,393.75266,161.64236,1537.8297,469.32825,325.34033,232.4029,275.5398,415.85757,102.38656,215.25055,122.94564,221.67134,817.41785,1473.7612,301.5412,313.51837,296.26865,262.32968,165.04872,387.9288,118.270454,99.68182,189.76099,317.3292,587.55365,40.871834,448.68457,415.03644,536.2277,486.44003,110.3459,240.69983
AUG,347.11954,234.9889,289.88632,213.82193,394.14865,129.37405,674.86115,499.15112,282.90784,247.04228,397.09625,211.56241,163.66411,235.60179,218.7962,296.62042,384.73596,511.2839,155.47739,151.18631,133.81178,272.1208,73.90597,267.95813,216.69676,110.39402,97.99603,165.96176,430.4076,107.92407,228.74225,363.42242,326.2238,434.16287,137.60257,286.84708
SEP,475.5258,307.48718,221.58083,144.57852,129.68048,133.57893,366.85178,74.774,86.420074,74.99206,250.00133,284.41916,44.017048,66.45173,39.27456,176.36389,320.86526,354.0302,182.19612,208.81438,155.22275,236.12059,205.03387,213.12837,23.187168,163.73352,251.00664,184.40057,339.35898,116.753845,161.56519,110.91294,125.659546,97.098495,61.065117,48.972725
OCT,434.27945,172.3013,121.54451,178.30038,135.14172,411.5806,254.97426,80.05108,28.895681,89.69472,341.54532,36.916847,10.707002,17.390463,33.418686,273.58716,261.0267,153.91411,74.32477,56.416172,96.424805,121.13904,106.25364,403.1264,15.922956,168.5855,38.24684,98.86974,184.95926,127.27842,206.72394,32.94719,125.94273,64.507324,9.071086,61.763363
NOV,361.3691,3.359414,4.1769633,1.795339,11.707359,57.7546,8.404816,3.5698278,5.9373574,4.0840163,2.0454004,4.782596,0.87606156,19.692175,15.335017,14.510784,152.91206,6.8732333,81.27598,3.6522284,7.7871943,2.9772096,3.5208738,1.5873461,6.4594183,41.269894,3.5614033,27.762674,5.650073,123.49467,16.870087,2.4094038,1.5788887,4.9274893,2.972548,2.2804914
DEC,78.04778,13.70901,5.547076,9.408171,10.607157,0.054448172,19.345463,9.924873,0.84953594,0.66100514,0.8278551,0.11226204,1.2187597,19.276285,20.149597,5.7536635,25.716217,1.8047382,24.520319,4.0684047,14.625874,5.582426,0.4488152,1.3912039,7.6635547,0.45624605,2.2027776,3.1466935,3.6716452,54.652775,0.5715236,3.085609,7.835846,5.158655,1.2301385,8.227606
