MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,50.015274,38.091007,16.298134,14.164406,10.730441,9.278136,2.04706,23.040115,5.7312436,14.021545,9.068584,3.622731,16.006815,77.80963,101.46204,14.606036,9.733353,3.8873181,26.574017,2.8791003,7.4422097,13.889942,3.9379218,9.078315,23.02234,9.517315,1.4633163,2.2483463,15.024572,27.253784,7.7188077,48.951473,10.203463,9.69598,0.6568398,17.407486
FEB,32.087574,103.400276,35.7273,10.038715,18.613369,10.005728,2.8688273,17.26064,4.069101,14.731628,25.759747,2.3699896,15.625671,90.858246,117.45662,29.216389,20.275963,1.0520052,13.753404,1.1388136,4.452601,38.578125,2.914493,17.85759,23.695925,6.2383575,1.6344599,2.9031122,20.01877,13.193348,12.126705,62.43437,12.871258,5.498423,2.836297,17.194511
MAR,40.156982,154.22339,96.078514,10.472688,12.004675,11.094078,11.003683,11.685976,4.1211433,10.234939,32.10742,3.192166,11.16137,102.19174,135.1513,14.769895,38.036125,0.9533718,13.284715,1.8637565,5.001438,95.06793,8.605594,21.845314,26.02936,10.661442,1.10557,9.303567,33.16901,20.525536,11.635661,57.795082,11.050845,5.2285676,3.6333125,10.380365
APR,84.489876,212.01863,202.01367,16.060303,15.219876,25.143559,38.42792,7.369987,3.902483,9.256844,41.290176,0.43201536,9.269865,58.419384,89.11799,16.729893,132.05202,3.0098336,38.968433,9.226536,6.8550735,187.61983,25.674019,38.21928,12.725698,18.71059,2.3676288,37.830402,134.42761,38.658318,17.178404,34.72327,9.81759,4.0584183,3.2622905,4.58742
MAY,305.54037,295.6115,307.2762,48.092457,21.158066,54.843685,134.45293,10.961499,7.1696877,15.352059,121.81657,0.30430114,15.123488,56.399967,60.131954,45.02972,208.91055,43.59948,179.4857,22.798582,16.039318,277.9196,48.161102,65.97012,13.238032,52.602795,5.8908076,87.03906,235.74,66.23685,26.121529,54.554466,10.896321,8.763929,10.854214,11.759716
JUN,426.98038,581.2887,464.64053,201.3957,215.81714,121.43527,860.4579,158.68068,60.345417,116.34708,239.93123,136.77208,48.930992,91.203445,56.76429,213.51424,640.98456,649.6384,316.73926,153.91861,146.10646,407.97827,98.19362,220.81802,44.318066,61.97932,74.9957,150.3462,488.8307,53.774536,146.32526,178.28642,188.62383,118.35524,27.336805,64.26553
JUL,358.87064,664.51825,452.81494,321.28958,365.18295,187.95528,1238.3214,349.0889,246.82004,299.14478,315.9067,356.71967,161.12527,282.99847,191.35712,331.80313,687.0343,1164.958,283.68448,275.58658,196.9675,397.71494,140.6214,334.92462,164.43533,96.23749,196.27843,253.98811,594.21515,67.58119,270.1148,368.4026,325.7578,315.23566,96.182526,264.39163
AUG,351.643,436.68753,360.98224,301.81036,359.99197,189.43828,721.29236,349.6928,235.46985,290.58954,312.97614,258.19446,146.12076,274.30023,200.4373,310.5128,366.88077,653.13043,215.06396,198.40479,169.21674,368.9963,113.4626,350.38165,150.29582,103.38065,117.79964,193.141,471.13538,96.75483,233.96483,354.82812,284.6035,299.57132,100.749626,259.33365
SEP,395.75552,374.73654,282.53702,237.55193,229.60854,194.92268,217.72444,200.9857,102.42434,198.41881,261.424,157.51471,91.05645,139.40012,82.41646,239.3138,216.29552,275.46268,178.29251,167.05228,196.75182,287.2298,138.24846,244.51123,90.67167,128.31613,80.216034,141.79208,376.43472,112.5874,189.5689,210.82256,190.65187,182.24438,40.45965,139.84807
OCT,259.3201,180.97585,173.41519,66.26422,67.3711,205.89044,169.83505,41.876106,10.102634,45.48409,141.23819,18.094656,15.101981,26.556562,34.588108,79.887054,252.22874,132.79092,185.84192,69.22022,55.04774,193.22124,94.83701,129.59999,12.036759,137.76303,16.611317,148.24396,159.17955,192.50185,73.270615,40.70988,43.641964,28.254498,6.7455354,30.292496
NOV,210.60014,35.6118,31.800783,8.974951,14.765948,68.171844,47.71779,8.598463,2.2201135,4.032339,18.09952,9.312787,3.0447707,18.280245,23.172667,8.482053,172.13821,16.799091,136.22636,26.858152,26.226112,45.476425,27.07848,27.735992,2.703934,94.8803,7.3800025,46.497566,16.532124,193.80005,19.791656,8.403691,12.215946,10.914191,2.8516157,3.8920658
DEC,167.66164,30.90578,8.357542,1.7522101,5.6099057,17.148294,7.9900393,11.6785,3.6400323,6.735349,3.659259,2.5925186,5.6426425,34.57912,46.507374,5.4022417,35.58107,12.078791,64.11549,5.860984,5.341561,11.083482,7.7291255,3.4736454,14.783731,35.831738,1.1780305,11.7744875,7.0015235,73.54619,1.3202025,26.177563,7.653273,4.3340926,2.477222,6.8594723
