MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,90.2351,17.321976,17.49459,8.747169,33.031296,6.4808764,14.969634,25.199106,3.9880028,9.7866955,10.464934,0.7556447,9.159982,49.133,8.05034,8.454058,32.48241,0.40428948,15.829566,24.265882,17.393112,37.49417,7.3728914,2.7678518,10.6622305,0.2957343,1.2185874,5.8059845,6.968022,58.423225,5.285998,50.974854,13.691076,23.71938,1.3707677,6.333429
FEB,74.16101,31.093338,12.128989,1.2416764,8.222483,9.7119465,2.0741847,3.947487,11.681554,30.247253,21.436672,2.745108,34.21562,122.8742,89.830574,23.884167,51.53543,5.7291503,16.45838,6.5117135,37.697834,10.146172,0.7780608,14.959526,33.082413,7.8143487,1.8128964,2.495846,15.878892,8.825172,1.7299697,37.705734,10.790111,1.036666,1.077962,77.492165
MAR,52.794605,181.82965,179.21663,5.2974615,6.3106174,9.638993,8.100333,12.451447,7.374824,16.55717,9.872049,0.035605997,13.256141,81.23871,360.61758,8.623291,79.90061,4.5740805,33.970596,5.33608,31.48791,61.30366,5.238717,24.430689,18.832882,1.0554117,2.1383524,10.271096,31.880594,19.887705,11.605712,66.19481,1.7498431,12.3554735,10.3071,21.557583
APR,139.00351,111.71685,159.21603,20.651678,10.6895275,30.595213,9.121877,2.447919,1.1416721,3.8872561,40.64596,0.25474954,8.890964,45.419422,164.6194,13.572515,162.3235,11.846311,10.973995,13.677666,2.5804913,126.92095,18.693617,2.0991268,10.48708,18.57168,3.66637,35.65564,90.15,37.89819,3.8751695,11.497198,4.0324802,4.6803827,1.0084327,5.0504045
MAY,188.4355,227.94371,374.6521,52.0121,20.065361,45.786674,172.05103,5.03491,3.3871367,0.32655,121.80465,8.817162,2.3885813,59.891342,46.325092,61.685314,227.11406,1.6743138,118.85558,35.539295,8.722808,313.67993,58.90985,52.91584,7.740833,40.839,4.121913,98.52588,181.29504,28.133884,28.774954,8.715258,9.570469,26.022194,11.569126,2.55808
JUN,333.6178,592.8832,395.18243,248.30183,171.70181,123.16875,998.3072,134.12825,84.54704,129.4794,434.45505,80.12457,35.310318,92.46599,29.361216,157.80232,832.68005,383.32285,413.35025,110.02704,156.52255,342.19394,111.503654,242.25502,41.08476,67.10649,7.5548525,152.20186,426.91174,61.206905,134.3285,117.23284,28.25375,102.910675,26.580608,228.1744
JUL,621.8279,359.36966,324.2691,269.75616,361.7109,229.88034,774.8288,322.38,285.81357,524.5959,304.57434,217.29689,119.4005,167.89354,160.78183,326.77014,828.9365,1066.7566,234.92688,147.08777,125.30782,261.50085,175.9757,337.8925,91.579056,69.5235,50.410892,192.5595,525.864,53.748875,55.37906,306.85257,408.95966,376.07892,122.878044,419.22336
AUG,154.63666,42.14007,363.40726,323.7119,456.77063,144.42242,421.7923,223.50314,211.40213,199.80566,270.42554,22.082409,62.222973,335.6614,133.8954,213.81705,268.968,605.3608,102.98238,159.50656,33.51879,270.40976,82.99356,274.69702,143.50462,91.032684,54.070972,322.31134,486.82144,61.955227,119.62601,409.85364,225.47592,210.92,56.420383,208.0481
SEP,326.5906,303.92752,308.15207,180.27037,223.14777,167.51782,332.3555,165.21555,119.643555,165.98007,274.8826,161.83994,136.74847,178.92627,101.70095,209.09845,326.44083,197.94592,219.61845,236.66008,389.69788,268.5173,142.24037,374.84003,84.71801,127.02265,78.95018,124.345505,310.50925,77.87821,73.08068,155.14563,255.46928,123.25823,17.466349,329.82446
OCT,183.4986,104.4655,158.2922,45.344078,40.41083,123.948746,231.84389,2.0428536,15.839917,100.459305,162.709,10.791482,20.73577,12.607302,32.60533,75.43224,320.0398,156.94759,189.08176,2.9228196,62.90825,141.35275,64.639854,162.76683,7.308665,149.27979,18.635036,117.929214,108.91602,187.61565,21.933521,43.264587,47.057465,31.982224,9.297571,22.868406
NOV,152.52457,36.36349,8.6733675,4.0432954,8.182256,94.29522,86.51582,36.29543,3.1181977,12.074038,23.536932,14.8064165,0.029713348,4.721937,64.39611,14.58996,30.920912,16.301361,77.44227,9.940095,155.05162,2.887596,23.185328,29.279585,1.7189416,22.784729,10.618306,17.057093,7.6382947,161.18349,39.91953,3.523469,5.5226793,2.3812416,2.5510786,2.9599903
DEC,174.58281,1.1186066,7.060824,8.69836,6.204282,11.797451,6.502445,3.136989,4.927183,4.7830834,24.104647,3.905531,11.2750635,20.596203,43.23579,2.3053439,11.33187,4.531552,73.88984,0.4599636,6.9539495,21.089378,8.637236,22.320185,4.86329,29.891245,4.933487,3.0727072,3.0666485,99.53624,2.6217985,37.43256,0.5385687,8.904978,7.130346,8.099139
