MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,183.80428,-11.824408,14.271494,9.886139,28.493616,18.03989,204.17393,34.226395,34.80636,-10.664262,-8.581812,-15.816114,-0.5170375,10.897794,41.45925,90.249504,147.67694,-25.63753,-53.96609,59.980427,-1.8294307,13.077626,34.309776,15.777308,-0.7519194,32.24516,38.027714,18.976313,-10.280206,8.729126,-33.836956,46.25943,18.8159,38.068974,12.43445,7.709805
FEB,94.75482,69.57004,23.153994,36.259636,13.838882,13.745902,413.88043,2.1294243,10.758456,85.139046,7.2332754,28.579144,30.643007,119.50586,140.36502,0.39260173,-3.1991584,-6.2935104,95.583374,54.591957,24.289686,77.01205,40.139015,77.22056,16.57189,-7.5180483,-3.6082542,17.588747,13.25527,9.723008,34.120113,134.22752,24.327902,45.23821,23.855028,69.16453
MAR,200.24068,141.18587,131.36633,72.426674,1.4908433,1.6486907,115.03767,7.486149,2.1975262,-25.168089,-12.627547,0.73710114,-0.016334623,48.59803,127.96486,-22.175001,59.793842,-145.777,115.8658,50.715897,-0.059473947,-10.881187,6.4848046,3.9345834,38.647266,20.844479,-11.32744,-3.0443132,80.947556,10.439188,21.330408,85.60478,1.6549335,14.418196,5.5058017,18.486094
APR,263.8195,312.8384,272.70984,75.49372,25.239975,30.437872,61.893,-6.4044247,4.729524,-29.360973,54.897854,-50.757427,-3.0660832,81.707954,233.73434,58.769608,-26.674276,4.4047976,-91.82818,6.083152,7.720652,187.29732,24.313185,65.51952,-21.388193,15.306282,50.131905,14.187147,104.90469,45.631607,-16.71808,-22.901817,6.332051,-2.5718677,2.4690979,2.031956
MAY,209.92674,235.74844,400.01804,33.65551,-10.969373,21.248608,206.3976,17.235058,20.185474,22.3276,119.35099,-9.940661,14.251703,50.175957,15.7429905,22.650364,512.2386,-74.956085,-0.9036951,27.914515,-4.4856753,277.9711,61.03423,216.88657,-3.570337,58.03355,37.099323,127.46248,242.56519,70.379364,-0.1477971,-50.520638,9.496862,-10.746838,5.6909733,-13.17185
JUN,397.25192,565.1758,554.4071,581.5253,186.01035,102.10107,1106.5271,148.00279,65.164795,18.082039,259.68185,-19.86418,60.269745,114.70746,23.952703,103.87007,861.90656,120.86842,345.15958,126.05332,102.735214,480.19513,186.38518,281.15427,39.717636,60.643467,85.25968,89.29594,248.17384,63.310913,67.0615,-81.868385,85.773384,122.325836,41.165146,245.12407
JUL,233.08485,577.276,645.32434,302.09027,389.91696,136.49025,986.15967,299.20023,220.35944,359.725,265.33212,585.91516,81.59493,213.21169,109.07355,170.90414,680.84814,503.50336,145.28183,202.03493,62.19657,268.27502,183.33781,347.16013,63.783173,63.452435,160.26149,233.3816,492.69705,63.05352,84.13014,229.2858,389.0915,268.8363,71.93037,249.19344
AUG,234.00673,31.712578,265.30573,402.71338,424.34805,158.10501,1092.1559,217.62094,193.04483,212.31764,255.04349,130.26825,146.87614,285.71338,227.82268,90.40022,516.49023,737.66254,85.043335,225.95131,112.63897,137.96945,133.1913,540.62415,94.820114,108.32353,120.134834,266.39914,677.48157,54.493267,135.98723,462.42978,239.62207,299.0926,45.1455,263.05914
SEP,370.09775,243.48222,470.66425,240.0672,257.4537,63.45918,151.98553,207.22119,71.463745,213.00983,175.99231,183.40718,67.311615,172.3698,49.133194,145.94737,367.54697,331.29364,254.66222,144.8554,116.65538,309.6257,119.32759,478.04626,54.71421,115.66871,-48.428383,135.67113,250.93619,90.161674,116.974335,-120.33836,244.4755,22.986843,6.2450104,253.61545
OCT,236.05681,175.32669,318.1105,11.960217,100.565414,140.0298,245.50473,14.505771,17.972548,73.588165,95.382195,7.7744694,14.513448,-9.478942,-16.863604,111.98197,87.574486,273.31522,270.407,28.804989,73.37778,32.258118,145.03757,130.90056,-8.210951,113.72417,15.878248,130.4386,-42.46848,195.42365,81.69034,42.714073,32.400566,25.35084,21.064735,30.608795
NOV,222.91133,51.47546,-15.594059,39.403202,65.32695,41.214264,58.18847,16.794424,17.34528,-50.81159,128.62111,8.11121,-12.634844,17.47567,-74.53047,37.17023,-11.624182,-121.05927,98.60583,53.66317,74.99765,52.57591,44.873966,24.969158,10.598168,68.33598,10.73713,31.123022,62.29237,127.969376,-11.083875,-26.44266,27.220724,-15.845469,11.417396,94.28684
DEC,151.85449,77.77018,105.65911,139.36208,71.75115,-7.89205,-45.366566,53.698463,52.087063,4.2302065,132.60452,-36.840115,0.16456333,63.199577,-52.237926,-7.702533,65.21065,96.59239,-35.12358,2.937796,-10.143924,-69.08793,49.72316,99.41245,42.9771,26.10627,45.790974,2.9676158,11.699116,96.17956,54.082478,142.93922,36.323204,45.15685,-7.0966225,-7.293116
