MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,29.722748,-7.874559,38.006798,24.309237,42.457863,22.693142,14.495279,14.8278475,-0.27267295,0.17449717,6.872799,-1.5017523,18.547562,41.766354,-54.462967,-1.3256114,39.653133,-15.478222,-45.73919,-3.527505,-43.03312,19.670513,22.867178,-39.690483,29.587585,4.095482,-1.3307043,4.293145,-15.020837,11.223434,17.941553,64.85985,1.6856226,1.174788,-0.38432682,12.80476
FEB,27.332394,53.94669,37.1112,24.489573,12.180245,-23.828999,-7.5635176,1.8226868,2.6946473,2.3586586,58.152763,1.731246,33.808937,49.6673,100.03211,10.670303,17.016912,-4.6247005,11.771464,1.4770073,46.236736,34.02565,4.8130136,73.907845,50.233547,6.6578135,-0.4625671,-3.8834593,9.427344,-37.62318,6.132159,23.683226,-10.964963,-1.0139351,-4.469388,70.3986
MAR,40.36208,213.33565,188.45694,16.922035,1.347954,1.241302,-11.380993,-15.169069,-18.373167,13.759447,-44.08001,-1.2726083,13.258299,40.458492,179.13446,22.533947,-4.5804186,-1.911303,2.5752335,0.4320011,-26.407963,87.98434,4.9145713,51.527668,18.190739,-2.3926635,-1.2269598,-1.5957716,64.12986,-2.555831,-7.2939115,61.857155,10.351578,1.0348983,10.435956,6.8054934
APR,137.49054,439.06982,184.47566,30.101826,20.442383,12.865236,37.731678,7.229074,5.4455066,-5.036467,9.282226,2.4996796,0.967251,80.56325,248.93932,17.57972,98.54846,1.3469665,9.888682,7.4472704,30.960297,165.76073,37.485046,24.46299,4.385288,18.829565,3.1233659,23.23027,133.32118,26.7562,15.866842,-46.963226,21.49556,-1.4761665,8.409729,9.726012
MAY,416.487,399.99048,480.13443,33.649387,42.97876,31.247814,143.06253,16.354738,4.5762286,-35.43962,181.08156,2.2942502,1.4949484,33.62289,23.454582,61.01133,231.79295,-60.327538,191.39557,-13.0641575,-64.360634,244.6183,54.299644,130.78122,29.23187,63.71431,12.450024,110.30468,229.16963,13.275186,-6.6426263,38.310135,12.159006,19.58051,-12.368332,-0.48039728
JUN,338.13538,432.09537,424.33908,247.22151,166.75851,171.49281,532.70996,160.56685,49.86755,92.10693,467.52127,55.475418,62.585945,55.152473,111.35185,190.2165,822.3386,428.17114,516.9211,248.44247,44.279312,454.33875,156.86473,271.08554,59.357872,62.56628,35.421677,179.20963,538.1071,63.87175,174.51991,15.472199,-14.95599,43.676205,42.281826,319.59753
JUL,723.0569,297.43207,589.0968,223.38339,355.70044,195.25735,811.919,297.83264,266.33105,360.0832,192.32098,127.55558,149.90273,195.54596,49.555733,262.98093,988.1409,855.6129,322.2977,130.8912,4.271351,394.14627,240.56412,248.44632,42.934887,36.737556,59.39111,110.38168,610.3727,14.2042265,125.84238,269.17334,275.7139,354.3546,122.1136,529.0117
AUG,245.27455,300.33954,426.59116,349.8306,404.92484,182.9241,351.02512,222.2498,214.52614,295.691,267.9966,-19.41975,93.64231,307.093,-124.58378,288.78775,285.7382,797.86926,416.55313,262.4645,184.4135,382.0266,120.96822,304.13416,153.37733,78.553986,13.717643,316.7787,501.86768,12.377286,165.52994,447.77634,161.92891,131.3703,29.465546,188.83821
SEP,491.60043,309.754,443.75452,140.59343,227.55443,94.51263,464.88583,154.88904,113.974945,194.07645,356.7725,203.2895,147.27292,135.5193,19.42544,277.80548,285.63153,215.4491,279.46176,294.75504,168.96686,363.6448,147.62764,318.83264,78.26186,152.64296,83.39075,136.91191,436.90738,-42.207222,205.0328,179.1528,266.14746,275.16025,-60.320766,387.26038
OCT,271.01926,50.91979,281.20816,49.009098,61.516056,191.24667,238.91132,43.66704,43.5944,83.07204,149.1936,27.206135,32.229324,17.011827,34.803173,74.18826,323.10724,172.6488,124.2983,-29.297306,-158.67053,169.42177,161.87111,185.52258,-11.601124,174.50493,23.792889,109.56184,47.633587,106.93874,40.59356,33.931213,61.016018,53.212963,-14.303499,45.817795
NOV,211.46835,-18.918291,-2.125838,10.538112,9.636347,62.660053,52.89976,24.62081,-21.1276,7.2559767,10.46956,15.371087,-3.997838,22.588476,5.56617,13.086346,274.99677,69.000786,-35.13031,48.26236,90.05009,41.319965,-12.237108,-83.75809,4.3528976,22.393179,9.72563,61.846756,42.72714,112.95716,28.862768,13.805069,-28.200874,-61.226254,-1.0491053,14.2289295
DEC,170.47267,-43.5746,10.111589,2.6379662,3.4280438,12.778098,41.88385,6.874205,-4.360036,7.788824,5.92214,-0.59546363,-6.171796,14.66378,34.761658,-8.010959,5.934095,34.869762,33.615383,-14.552186,46.326744,21.708206,-4.226905,3.8607388,8.498297,46.74767,1.0331874,8.3152485,11.024246,185.57307,4.170079,2.0967503,15.135234,-4.6170845,11.096841,2.1228435
