MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,117.902954,29.341658,9.707651,8.426768,28.989733,27.189547,9.976998,45.3139,4.629341,1.0356464,11.458186,2.6703186,4.8026853,23.924856,98.79179,8.222696,37.372913,4.344118,51.02984,32.970577,33.279724,21.151777,4.87831,20.122442,11.575752,6.4544573,0.06804608,3.4617498,5.992262,38.84627,5.864344,30.559542,8.098537,39.51233,2.2008138,11.599253
FEB,27.868443,51.659317,6.24652,7.4068475,4.4296126,44.503407,4.6817894,1.3163855,1.5095599,10.093982,15.242718,3.2894788,25.968235,74.25965,81.35802,29.220528,43.485603,6.6697936,40.879265,1.7155873,34.67329,50.726776,3.4674165,35.333214,74.03805,19.866247,1.9812052,0.2472244,34.79322,10.077371,30.446213,5.803507,1.7680626,2.8937929,1.4746373,61.65261
MAR,64.90167,215.24547,209.62852,3.2402022,14.833614,13.903747,22.94705,11.290707,1.7071816,17.30631,10.727764,1.1180236,14.420075,51.768517,236.10841,24.197897,93.72202,9.23957,25.974953,4.8813205,34.231934,156.19481,0.036418542,14.914952,17.736963,7.1851587,1.7811954,21.388805,67.01395,56.331043,1.7394929,12.955664,0.90298903,16.010181,15.843323,22.283846
APR,148.46275,252.94191,170.76343,11.4282055,23.837605,18.430117,37.834476,6.945182,2.643731,17.543268,26.040134,0.4991545,2.651926,109.99552,136.46237,14.095927,79.766335,7.4866123,81.3968,33.983223,15.431471,99.68386,74.83629,2.9683967,1.2965891,1.1570084,2.2724872,48.85268,98.646866,37.088387,5.5556455,27.205034,14.796292,11.610141,5.526028,3.1220775
MAY,145.48447,278.55878,289.93854,49.92968,28.315283,50.727222,142.31445,14.331734,21.810904,2.792528,137.84483,16.027512,8.973669,45.440403,30.919859,30.792532,32.582207,21.116674,226.13898,33.791462,4.5970926,239.51253,122.36715,53.052284,23.973263,50.63675,4.4009147,106.73137,329.24716,16.128174,5.805402,43.871063,2.9599905,15.182953,20.397867,10.244878
JUN,370.0531,1013.1149,474.1311,276.22296,176.47708,179.07903,843.59906,185.58427,122.20915,1.3540294,446.95938,29.533354,52.243996,87.56766,127.85382,203.99205,644.8333,373.60458,434.92126,147.15747,145.17961,385.9861,159.30327,321.0483,46.87301,77.224945,24.357372,211.1794,549.22217,88.54094,73.92124,215.38774,26.675571,118.56364,18.64698,89.33026
JUL,715.6926,583.95966,291.7791,262.11722,342.49738,237.32132,450.20847,250.24681,308.6795,551.924,245.47263,257.53494,160.73045,185.85068,157.4594,342.44788,597.3026,757.50714,346.21167,156.16095,10.34945,258.48825,217.47145,402.56268,90.81502,87.48538,114.77449,138.18451,639.1684,20.099058,38.80081,359.43515,321.28998,264.53983,96.215355,373.6125
AUG,170.24937,188.55467,311.51013,219.56195,419.1142,204.56755,489.57147,333.13272,193.53682,86.79083,234.60422,77.504486,80.002525,275.33453,173.90457,293.56335,175.00885,104.191956,283.6761,259.4014,64.25855,237.052,119.23485,255.97392,193.60255,144.4527,117.72165,367.26892,434.5277,112.0757,99.84597,338.20224,208.87476,235.31444,95.24136,135.36526
SEP,510.26898,513.58673,311.52438,151.64206,184.39677,94.46598,117.98357,81.21374,48.448635,33.936714,194.46822,124.40149,116.02978,169.91647,119.436424,214.13292,129.6634,69.17154,319.7659,193.48042,119.04786,269.08524,106.92469,265.05844,76.2787,117.62021,84.15868,107.24546,470.82687,77.23757,213.96944,282.86572,245.51013,162.58522,33.466957,262.301
OCT,305.19156,130.42679,242.76027,29.659649,17.1515,100.77691,132.86201,5.5109353,36.483543,86.24087,66.8687,11.173432,29.318985,16.503803,20.06502,67.067,344.19034,180.17433,308.68936,47.66092,49.673817,132.36679,144.28326,63.03024,2.6334035,218.53893,37.995457,69.953995,56.753036,216.2065,52.65456,75.89434,19.329567,41.31845,12.343498,22.358963
NOV,106.83919,14.618998,36.80302,5.8728533,2.0902545,103.447716,12.228915,29.676199,10.708377,5.546431,21.264214,22.78069,13.679579,5.324273,61.94991,3.3209465,56.93295,20.369867,22.984318,143.65935,15.918609,15.794013,30.25952,23.975866,7.717936,33.800426,12.88732,28.165289,4.9862723,127.72611,7.1643877,10.847808,16.495459,69.204216,0.4645313,2.9606228
DEC,81.7939,15.938424,15.626463,5.277434,9.01682,26.91493,33.743042,13.402553,0.10927799,27.09086,8.599521,3.4561806,11.978325,35.24192,48.380398,7.8201146,21.442886,9.534392,64.54581,11.533355,36.299084,45.282425,14.555371,4.881786,5.511623,20.01241,0.60778046,8.68092,3.9507987,0.08451291,5.8892546,27.601542,5.205732,65.78598,9.359258,9.306345
