MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,18.51007,1.1450639,5.8959565,10.747742,7.94104,4.214352,0.71258426,13.616141,5.166806,13.679092,7.0198145,0.5498812,9.374655,25.773296,13.035407,14.5494795,7.675797,0.4002047,8.142535,2.8896735,3.187172,0.312694,2.4568548,7.310232,11.450458,2.2966354,0.74316746,1.1635216,4.978951,3.256635,3.553906,25.895998,11.883334,6.5549736,1.4868573,12.119604
FEB,9.472615,2.042992,6.615448,5.4004025,24.046278,19.113466,1.1811545,9.570545,2.885783,8.970344,11.964343,0.2755498,10.9515085,45.171295,31.099812,16.836466,6.057853,0.1476643,15.6230545,0.35082388,0.96570235,3.9157872,4.4280186,14.240067,14.93462,14.798169,0.015698321,6.6161046,3.0408678,11.662535,11.733128,23.813675,9.518418,3.0124855,0.66109836,7.891604
MAR,14.743237,1.5044191,6.3223567,2.3895328,7.8242736,3.244595,3.1974473,4.595339,1.5842757,1.6136805,0.70793545,0.36254472,3.0370395,13.009418,14.291323,5.5315695,9.58834,0.07984186,16.916357,1.572598,10.291571,2.3986983,1.5645306,5.6973667,3.2757454,0.8978607,0.50520027,1.1806884,7.00852,5.8234615,2.3672767,18.255322,9.488604,2.30655,0.66342574,2.374479
APR,17.703552,6.368698,54.62701,1.301539,3.233917,9.873828,11.779547,3.8809135,0.3825732,1.5135405,16.947254,0.5208311,2.4758575,13.958356,39.454838,3.405584,31.45292,2.7356803,41.137703,7.9566793,11.731454,48.324078,17.679382,11.056842,1.494855,4.992911,0.14754213,12.496247,16.380692,11.482621,11.251064,5.890448,5.479146,0.07134777,0.62006235,0.3141843
MAY,140.84837,8.860514,59.836693,22.380753,1.5521706,19.034306,24.562637,2.9341793,2.1802962,2.2719998,39.58443,1.4374282,2.4243226,26.986576,31.929039,8.557881,44.450085,11.899783,6.144937,6.9026985,6.4512258,47.902344,18.351055,23.614378,8.625354,7.1183305,1.3313646,28.072685,52.031403,14.658792,6.4814,13.582416,1.6785347,0.24307428,2.2427342,1.0831563
JUN,152.25427,24.235622,126.582306,15.806917,30.296837,20.26624,250.1625,29.862644,8.912047,13.007171,60.80005,27.620186,6.5290294,17.954897,17.427776,28.422686,221.27388,207.4891,113.00863,38.77647,56.1862,114.740326,37.34928,24.66014,8.773513,16.045624,11.192785,35.534374,134.01653,13.184955,40.829475,23.253086,47.754784,19.591173,3.4789784,14.105237
JUL,115.02442,25.65298,126.482956,74.411995,114.45254,30.65344,306.96368,112.977036,52.99366,66.46376,84.20464,62.809093,33.234386,78.21421,42.32375,73.47898,192.74448,328.486,39.703175,67.26308,57.04609,88.97459,44.778458,81.702614,48.573288,22.211254,20.017551,63.796944,150.8573,14.84218,70.83779,101.4401,87.39293,71.45533,24.100595,59.519783
AUG,126.02194,17.563358,112.72309,81.13062,132.59703,32.821625,209.37001,164.1522,54.52964,68.616936,87.16102,63.386566,44.893417,119.68515,46.715473,102.77724,105.09387,213.3008,20.034126,63.55462,71.065544,116.45421,32.59516,87.0111,45.29826,17.639385,25.632843,38.06068,132.01593,18.90093,51.539787,145.46638,110.303474,106.74604,18.08314,103.680046
SEP,123.74011,17.137562,75.562675,38.89764,52.95235,33.69516,77.098915,49.657516,0.15086502,53.399063,97.34039,8.922354,2.968444,22.796608,20.777525,69.329475,69.93785,94.613335,23.031984,28.38293,17.372814,78.20015,38.29043,54.535423,2.3747795,29.264956,16.234465,43.610573,64.531044,47.94685,18.737331,46.362247,31.841908,12.470764,0.5894044,17.454355
OCT,89.045784,11.083723,41.681534,5.831867,10.6270075,61.217102,49.899277,4.952595,2.7893126,5.850148,21.9661,8.720814,0.6780648,2.5537903,8.044622,14.715229,78.154854,29.585878,46.213295,19.779253,25.131659,46.149815,21.930588,29.834011,0.8704226,29.512041,1.4274689,49.02647,24.133232,33.74948,26.086735,6.733857,12.324568,1.0841362,1.0076826,3.4797485
NOV,110.29124,0.55145615,23.189053,1.9173478,0.63346946,39.76546,15.887944,1.268628,0.10944438,0.09559538,22.536604,0.02271259,0.015679069,4.0636606,2.3809855,7.262641,63.331352,2.1487055,60.021023,0.90312535,0.051980823,17.498661,1.256667,26.37325,0.2715808,28.470987,0.51265424,11.885361,4.5346584,60.757763,2.211786,0.05468279,0.47208005,0.69950795,0.3821507,0.0016668811
DEC,35.27454,1.0847362,1.1285261,0.8855607,1.6213877,0.992653,2.0373983,1.1924907,0.5312443,0.049016856,1.92493,0.14032696,0.6467148,10.115608,2.214188,1.0695684,10.520502,1.5198975,7.016012,0.2797443,1.2812082,1.4910793,1.6741725,0.53527844,0.8590369,24.609192,0.052515425,2.083508,1.0236979,17.838793,1.0842081,9.168941,0.6929724,0.66831076,0.18647972,4.029543
