MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,36.91804,27.100275,11.225067,22.03349,16.626017,8.023739,1.7691072,28.54751,13.67541,24.921618,12.798284,3.6608994,20.478584,65.407265,18.659132,28.15638,10.096635,1.7975197,35.10044,9.804323,5.8237753,9.814165,2.070464,12.390423,25.564884,2.3632991,0.8654401,2.6529183,10.303846,7.8339806,2.6578486,43.383972,17.370626,11.798671,7.65062,27.983898
FEB,20.946959,50.251938,19.783468,9.662503,38.419384,45.83584,1.666896,13.963819,5.682679,20.545881,22.946661,0.3515886,21.090694,82.95678,49.152187,26.676157,11.832118,0.27512577,35.295094,1.1344206,2.4270105,25.927114,6.0671473,23.248392,31.464787,28.422626,0.7161901,15.027414,15.103545,23.604486,21.749805,49.52013,12.786198,5.6452837,2.1761599,5.72904
MAR,24.200853,84.04192,49.142296,5.320421,17.625822,5.6233177,5.5360317,8.741741,3.5587578,6.260312,13.293766,1.942809,5.7224793,48.724705,33.32116,11.735796,22.338814,0.12609518,33.138195,5.8807607,16.707397,51.56962,5.2379036,3.6328075,9.808886,4.4644513,2.88206,6.7469373,27.63735,14.420538,12.187269,34.54812,20.64318,3.0668578,3.6512682,7.2291036
APR,46.604576,143.04974,118.27717,1.842859,8.556948,17.703352,19.662298,1.9180634,2.8703794,1.4454993,29.936136,0.44378665,5.3617506,32.98965,81.29922,10.074526,68.275665,4.711281,79.66135,20.398941,22.72257,101.82425,38.61843,18.989027,6.6467605,7.4786263,0.2466811,26.65014,66.70254,20.713783,27.39296,16.147808,11.834211,2.6309931,1.9716321,0.66363347
MAY,204.06401,195.8293,197.87567,38.57881,6.5554214,39.81507,82.14265,2.237344,6.8821363,11.248477,83.437355,7.937568,5.7712536,33.11191,73.30057,13.953733,114.17511,31.36392,48.591434,13.467141,10.684371,168.10197,37.5563,48.520477,18.086843,12.141634,0.04135835,54.843006,155.41846,34.348804,12.86072,24.295649,4.0879917,4.0155687,4.2891316,6.8683567
JUN,266.12048,350.19434,293.0007,40.7182,74.19875,42.774113,484.53455,60.5701,21.625244,23.375135,125.59215,17.912119,12.370309,44.95927,31.621021,54.09609,403.9477,412.28763,215.58032,74.18157,102.19736,256.32956,73.95174,58.077423,20.110298,29.003555,23.177984,68.0036,310.4096,25.379112,77.66756,77.83211,84.79199,40.89002,5.691067,28.29555
JUL,228.14551,378.3933,286.1956,151.86505,224.44394,68.22842,650.20154,220.63591,107.36825,129.4973,165.14961,130.36214,74.19607,178.87575,82.64303,195.5622,395.5852,629.8135,119.16409,135.73305,101.04738,254.93138,87.71802,169.9546,90.375656,42.946186,57.944637,125.900925,373.88675,22.413597,140.31354,238.29375,173.79347,150.27345,52.006832,124.01402
AUG,225.74657,270.37622,231.84563,169.76804,245.36525,70.01854,415.10583,324.2361,107.981575,146.8437,177.0973,133.28015,87.69366,236.16978,108.746605,219.02634,216.07938,424.53894,95.74907,128.73363,147.87927,238.73167,66.60902,181.15501,90.47203,36.42615,46.075184,71.27384,300.88266,39.502415,104.68751,298.71786,214.90413,222.77382,39.816727,212.9612
SEP,247.6511,235.15906,179.74307,84.331665,112.08205,69.70432,178.91504,113.40471,31.46058,124.80775,188.2454,38.41287,27.158646,51.47339,66.589096,131.88472,124.86743,202.80006,67.767555,57.298805,48.878147,182.51662,75.44167,114.37526,23.023632,57.972134,30.06508,100.29376,243.9079,93.98069,56.269463,108.15974,64.0022,38.336468,10.381547,56.12333
OCT,164.27884,110.315475,90.35156,11.014523,26.04967,123.292946,109.14922,23.007948,9.541123,21.67495,52.484547,20.574135,0.60489154,10.850717,27.455982,26.014318,168.9952,67.32987,119.95492,44.516117,45.415607,104.23291,46.617676,51.705074,4.028693,58.33842,0.012329221,111.10984,88.28124,71.14528,53.694794,17.59305,25.99716,11.847045,2.0557437,6.9935055
NOV,135.196,21.003206,17.937109,4.7527604,8.484744,83.28258,41.422302,9.608103,2.9446585,3.505213,39.181736,2.9414012,0.55499226,7.409875,11.764489,12.546739,106.39833,19.445774,96.85869,1.1978718,9.910811,35.03164,5.8224573,59.630764,1.1382804,60.346066,7.614252,26.130583,11.911879,127.541115,18.389713,6.9685397,8.191605,8.13903,1.3108906,1.0887444
DEC,95.71956,14.821856,6.3772316,0.68062794,0.34558597,6.1279287,10.584654,5.108696,1.0530368,2.4608319,4.4544744,2.7647533,2.9799922,20.91187,4.6491833,2.2708132,24.90674,5.171852,29.557194,3.6577983,10.170731,9.835058,9.475682,4.852518,2.9917293,52.587124,1.0744876,15.258748,4.7713633,47.86393,5.6360145,21.79275,3.3778052,3.5681233,1.3141674,2.5649245
