MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,32.39237,21.04064,8.267167,15.390321,10.1317835,3.3280358,1.0986037,15.547669,7.514546,16.862686,10.24984,2.0525393,16.315527,52.254658,30.610836,26.057854,8.237958,0.92818534,14.060811,4.5844626,5.4345827,4.4958925,1.532748,12.992714,23.636341,1.8099858,1.1502203,0.25496945,8.925109,7.767393,6.6589327,37.386063,9.595155,7.5013137,2.599798,20.686295
FEB,17.49557,43.178802,17.20744,4.956284,22.44289,28.891592,1.1335833,16.966385,3.1050432,12.785552,24.716785,0.37930214,14.452327,68.11564,59.99879,22.651194,7.316413,0.331151,22.425259,0.6665751,2.5947673,14.279757,7.0799813,20.272005,23.786446,25.132769,0.7609506,9.463571,9.548454,23.891102,22.253325,47.40939,15.672167,5.5882626,2.6928892,9.948093
MAR,22.979883,69.15464,32.758137,5.655085,13.215176,3.2493484,3.6616614,11.623624,2.6038096,4.412053,14.212563,0.99412364,9.682403,37.411606,30.165724,14.138807,19.320593,0.73565775,20.45798,2.946846,11.443328,27.51073,7.9049573,12.106773,12.534019,1.2189275,1.5540926,4.809162,18.245424,14.858569,6.6185384,39.47933,8.600108,3.5796626,1.2725441,10.424296
APR,37.366226,118.017105,109.48931,4.848802,5.5691743,18.002375,13.586866,5.443081,0.88351446,1.5096605,23.729322,0.43784833,1.3893784,32.521675,69.43285,11.139163,60.34098,2.1288598,43.039303,12.814679,13.103574,80.51572,31.280245,20.491331,3.2914982,8.823474,1.0488255,19.271835,47.64277,23.672876,22.040201,16.465588,7.008517,0.76251644,0.8607678,3.3611703
MAY,217.58809,152.31087,144.49637,32.056736,10.736194,38.071903,48.479763,4.82265,4.5921955,6.4543767,76.86216,1.3550216,6.659015,36.373783,63.681213,16.792896,113.248085,15.692402,37.45604,9.721172,11.692672,119.55794,35.881577,41.569107,11.701756,17.604856,2.0243745,54.144463,108.66687,37.350883,15.278637,24.429174,6.438514,1.8641864,4.7842183,2.7468686
JUN,281.9644,281.92578,247.20105,49.41771,98.26005,42.353664,373.92395,76.62906,17.613298,32.81801,134.27698,45.195393,4.872447,46.493168,35.617638,72.00094,377.18652,352.68716,173.49825,77.09767,108.56516,207.8306,72.07984,68.93182,14.895528,32.496395,20.727383,71.14104,234.52576,27.43735,75.33409,91.582664,97.682846,43.543552,7.250778,24.784023
JUL,233.46841,298.277,242.76073,136.76967,220.98141,66.66053,482.2759,222.6935,98.78247,127.48192,174.83551,127.96187,64.97186,160.73682,91.03812,171.0871,394.39914,531.58826,84.75306,132.91728,107.58881,197.9123,90.215126,163.59387,101.653824,43.098125,41.998127,131.62755,277.57855,29.145178,137.79935,237.44165,172.5745,142.03761,49.17371,111.890396
AUG,234.6217,208.64943,216.61389,159.04602,239.72939,62.93782,320.97925,278.2588,103.78622,128.6284,170.81299,120.243034,90.46152,198.73183,94.88762,195.16031,235.32236,353.47208,54.980053,128.53671,135.86615,198.23036,63.996784,165.97896,82.019264,28.644886,54.278046,73.1743,235.32275,38.505505,106.51433,270.3596,206.6378,190.98923,35.658436,191.87671
SEP,254.76361,190.15402,143.50969,77.10732,110.79139,74.37194,131.52686,118.419495,1.0879824,105.27407,173.11145,16.213436,0.16666566,77.65895,40.706547,110.770164,136.9501,182.5671,49.380844,62.743534,40.103973,162.28326,78.876,116.1494,17.687742,53.74807,33.023174,85.714905,172.96562,100.95783,38.38877,121.76675,59.861046,42.03111,2.5876207,44.949127
OCT,165.73685,81.225426,76.26825,13.904917,38.286156,115.677925,83.92525,20.702715,4.895115,7.4063735,55.273136,13.58018,1.2008623,9.838172,15.38225,23.294144,170.47292,61.197792,81.58473,43.539738,44.275597,87.18238,45.610332,57.724537,1.1891874,58.69226,4.8190627,97.78232,65.34407,68.03206,53.479427,8.635906,24.122673,10.252547,3.3828967,4.9708014
NOV,148.2392,11.163695,31.29583,0.78088236,3.6916018,77.20459,29.732752,3.366453,1.3119595,2.549899,29.015047,1.5529499,0.92470205,6.5311627,6.89984,3.2875495,93.00082,10.294952,70.654686,4.818853,0.24607152,27.29415,0.32466987,46.78009,5.277832,58.758495,0.9385813,24.497534,7.3685703,120.91983,4.437278,4.5869923,2.9041588,0.701627,0.75277334,3.2432775
DEC,84.41585,11.005289,0.0892309,0.3521928,0.0077189505,1.4579387,5.008391,4.0911703,1.8456837,4.643458,0.2918194,0.09036761,4.895926,18.520565,0.42405123,5.2627316,21.293451,1.9838147,21.862194,1.6175703,1.103548,3.7780564,1.2467594,1.7556745,5.928245,50.4528,0.21084885,3.2938836,1.6298956,33.80296,1.6427811,10.111936,3.5110633,1.903017,0.24316898,4.542492
