MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,138.81789,29.830944,37.209805,16.027689,39.572292,1.0837324,5.5057693,27.40904,8.907465,29.577711,4.1168075,5.796938,17.495329,47.8914,21.73675,10.60801,55.860928,8.880003,65.759995,17.027287,94.994736,31.477448,14.022463,1.1200833,15.081088,12.1523285,2.3112779,5.7829027,16.696672,20.572014,35.561455,54.0527,30.804981,24.175,0.8636303,1.6412548
FEB,24.09191,25.907478,1.0675448,4.6166887,19.919819,18.33789,4.8860817,45.39463,3.7025137,4.488218,18.816202,0.04404238,26.132574,111.84116,117.285995,12.131608,28.328182,11.357424,0.6283804,1.6659842,9.324419,66.379166,2.8751647,27.51065,27.36961,11.235568,0.9244532,4.2373643,12.956456,4.75525,0.58868515,0.63363266,15.740019,15.729144,1.0635755,43.40405
MAR,61.544178,124.364555,197.19922,15.685697,1.7216966,4.5120053,49.14677,6.1820745,1.5326915,20.094284,9.003211,1.0700592,7.045774,81.13156,290.42728,7.8426375,28.636139,3.382483,20.312592,9.533325,11.755587,67.56629,2.783863,19.31079,37.53332,3.7464657,0.28325433,5.4255867,18.603746,16.683928,8.226894,41.638493,33.78479,11.915634,16.12002,23.643223
APR,109.624695,169.45963,109.67108,27.375357,0.6238574,31.758177,52.94335,10.95088,4.3074236,1.3307843,26.052557,2.8021493,4.188818,76.323456,171.68535,21.956139,77.00547,12.733123,41.088375,10.530182,36.316967,125.73205,69.449814,33.919594,6.7964616,8.212669,0.9324223,35.201874,105.82575,19.733427,44.523956,14.2685795,9.124178,3.8594432,2.9725208,7.9177094
MAY,269.2551,376.81146,410.4435,73.550545,22.00414,57.496693,38.127285,20.274092,4.6157527,1.168622,139.08786,2.0279672,2.5363429,82.31701,39.89408,73.59032,302.97534,123.01676,276.69418,50.644794,17.541994,464.79324,20.730755,90.403465,5.934919,57.140987,0.6936075,131.46799,161.95137,39.263012,45.36045,85.60238,12.036953,11.465767,10.59372,21.201267
JUN,323.2577,410.88992,365.8727,333.88644,168.42969,113.05189,800.3461,176.88405,86.607544,76.14048,393.51038,57.735367,16.846214,95.61242,110.23463,222.19844,861.0004,79.182625,226.29485,224.80403,77.4206,322.7514,152.53851,343.50098,12.82177,65.90801,16.273508,184.0495,549.34937,71.85238,202.82468,78.64216,21.595469,21.858149,22.82427,195.09662
JUL,529.23285,478.80707,424.58066,112.66409,332.08734,145.48878,867.05835,253.59814,300.98022,595.26483,349.95142,184.99547,182.15662,206.62186,129.91716,272.68588,614.15796,1405.3663,428.49368,246.53088,74.21817,232.9714,112.98431,358.54022,120.91084,82.69834,85.469604,127.359184,458.9798,72.47352,40.82069,317.49408,454.1823,337.41165,123.3758,390.81778
AUG,215.86406,54.93335,339.44327,367.02567,394.10724,92.090324,666.50916,180.34386,141.28464,223.59859,286.82138,18.051628,79.5324,299.87848,148.83543,315.0611,526.39606,329.936,202.61101,148.5563,161.98743,276.5954,59.528107,375.92422,151.49619,101.13366,100.10216,291.4633,519.40857,25.09466,262.26505,367.07452,235.89088,242.63103,117.3404,121.077156
SEP,447.8739,594.0659,356.00146,97.29324,218.33356,183.93018,168.67926,94.50952,113.26932,206.45427,253.67497,174.57266,212.82343,177.66846,73.98405,235.43073,382.07162,224.17809,316.77792,274.74716,309.80014,330.5561,70.32094,368.64453,109.939156,157.73228,103.77104,109.31757,307.43094,170.87753,71.067245,155.09657,280.88086,86.092804,7.279254,297.46484
OCT,259.67636,29.865507,36.587578,3.4492986,42.65125,60.842278,158.3421,2.2177875,4.278926,121.28952,101.46437,9.210017,31.609625,4.0757084,62.347904,34.121964,237.16542,214.85837,32.394024,69.59251,52.182446,123.030014,87.35163,41.119774,28.560743,197.29605,34.020725,155.488,97.63249,201.79874,92.78646,150.38779,126.77085,52.260666,19.449074,36.100456
NOV,136.15598,4.502808,47.570484,18.637928,14.440747,78.744095,12.241812,28.966503,35.383167,3.892454,45.714222,12.442646,1.9671903,10.123124,119.12611,2.3323913,62.64603,11.639927,27.221004,23.131601,181.60698,30.259087,48.237923,12.865472,5.919909,4.5899897,21.283533,22.877594,32.574085,79.81701,14.074585,3.3307862,1.8621049,23.869486,0.3512655,6.546133
DEC,85.953285,34.80742,1.2182379,3.6053076,8.111454,17.69557,14.266324,28.859947,10.147285,16.518724,18.683546,1.9004241,13.806459,12.341196,29.439814,9.586196,101.586105,18.769749,61.37734,27.349993,20.540401,5.6892247,6.1406517,4.1100225,6.0064564,33.62329,1.1323146,23.873152,7.370976,206.66142,9.367634,51.933342,5.79699,30.17073,11.970181,13.11064
