MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,32.359425,19.739763,5.8626094,17.02883,8.501955,9.240198,1.0490884,16.848356,6.3048944,16.788977,9.4277315,1.1908276,15.91105,44.520924,25.19597,23.70386,8.016475,0.71862406,16.765099,4.2532487,2.299886,5.3521376,1.0543604,12.723129,23.951506,3.020854,1.3285508,0.503955,10.532157,13.781541,2.3180966,34.68487,10.992034,8.705919,3.0666616,18.515589
FEB,17.66607,36.031708,15.377156,11.960092,23.38219,29.294132,1.0906407,16.684412,6.186083,11.603275,23.501167,1.1049577,17.641666,58.592537,56.207157,30.428669,8.144822,0.3730415,29.802002,0.5904417,0.36371043,16.413183,6.2722096,24.260162,31.771961,24.136877,0.1306026,11.907217,10.290247,20.152937,19.704771,45.811256,12.560835,2.7008562,1.8440485,15.740623
MAR,23.980396,65.46618,35.679237,4.6579723,11.763747,3.8478076,3.59082,7.3819747,1.285245,2.9374588,12.173536,1.103889,5.839784,42.14718,38.32002,19.247131,19.675184,0.96621853,21.542171,3.8684964,7.764812,24.2626,6.8630147,14.667495,12.04897,0.16802949,1.5362661,8.349088,19.770126,8.902433,8.971917,36.401028,9.737463,1.6694454,1.7474126,9.442488
APR,38.64676,124.67622,111.595406,2.676976,8.304975,11.131663,13.706678,8.059868,0.56778395,0.6219738,24.224926,0.600984,1.2323797,35.311085,71.362335,7.941479,61.566418,1.8685176,54.19333,12.933341,11.836596,96.37875,36.109627,18.113344,3.2716036,2.6208305,0.8852443,21.648415,49.251125,20.629679,20.480133,18.381824,9.0682335,2.0626163,1.2566426,1.9848647
MAY,220.22914,155.51035,145.6858,37.121685,9.867545,45.970387,49.99144,5.90148,2.179881,4.4947543,84.011826,0.8580421,3.859996,38.00302,59.877796,15.726299,113.808876,15.432323,41.561733,13.00396,20.873085,127.22877,34.04076,46.015648,15.445315,17.996155,6.967764,51.880722,117.7912,33.904175,16.66664,24.73834,4.2457237,1.1384993,5.068748,3.9851673
JUN,291.56125,296.78317,256.49173,38.770363,93.333954,40.1646,384.02893,78.44652,18.792633,42.015087,124.08722,47.92143,11.134941,44.709057,40.839176,67.84653,402.33078,361.07202,185.40099,77.4679,107.40403,219.655,71.468094,75.48599,15.047791,34.054684,18.332458,70.95013,243.74486,27.739004,78.0375,91.51594,98.21108,42.604046,7.697875,18.133743
JUL,241.16167,307.74765,252.35466,147.15466,222.6962,67.58767,486.45224,222.06885,103.44192,122.07091,177.51538,127.73851,67.53863,163.71844,80.711365,170.812,423.42267,541.5408,79.66936,131.4892,103.259285,224.16945,94.70564,166.40211,91.87278,46.256077,35.80006,127.18072,293.98825,31.119987,141.76419,239.95447,175.94415,145.8577,48.349857,121.442314
AUG,234.98087,221.4718,229.31975,165.70692,233.98134,66.948685,331.12103,270.96964,111.22951,122.79538,160.90343,132.59534,91.23491,200.27295,107.59137,177.57043,251.95229,360.98203,62.664783,120.468185,137.92659,220.93683,68.172295,170.61702,90.49393,32.215668,52.857506,72.60347,240.5006,38.366077,104.154434,269.01764,200.89847,194.52647,36.317924,194.77255
SEP,266.9269,197.42693,145.1692,74.67418,106.628716,70.61859,134.77054,112.89435,0.55843025,103.489,188.25246,18.935942,2.0615458,77.62895,38.235012,127.65824,148.36316,183.59576,58.18309,64.15495,37.131798,163.92703,71.88858,108.816284,4.305055,54.899635,30.332605,85.693146,184.57582,98.44108,42.906513,119.78443,65.85691,38.704536,2.31321,44.954033
OCT,164.27983,85.0984,75.7745,14.622134,34.3577,119.8048,85.89115,25.249838,6.949957,3.1409912,50.857456,12.755502,3.2567978,13.139437,21.967293,21.660677,175.84735,61.26605,83.89432,42.072975,49.917294,82.68892,47.229004,55.15822,0.82614297,60.3653,0.11429426,96.024254,58.346703,64.114586,50.909317,11.26915,29.5763,14.159785,2.317581,0.93857986
NOV,158.05437,16.083664,30.859463,1.6640813,3.565391,80.07017,30.475943,5.5247016,1.3898697,0.20100372,27.521763,0.63255006,1.1626987,8.275687,3.7387316,8.978214,96.049805,10.815907,81.97234,2.491753,3.1875372,30.600761,7.9974003,44.827446,4.527962,57.243763,2.4606562,26.851318,10.398305,128.20427,13.141314,2.7814064,1.9795895,2.9527175,0.07763192,1.4079509
DEC,82.43103,8.962701,1.093078,0.2695696,3.8944354,2.46123,4.971923,4.0642347,0.018424068,2.926477,1.1718541,0.50708973,4.746307,20.66266,6.741534,2.925171,21.666069,2.8078496,9.276764,2.5698698,5.025056,4.2979245,5.620951,0.7458075,2.175212,50.60358,0.22561851,4.738433,2.1851273,40.55235,0.9228538,14.016435,2.089205,3.2813532,0.7886444,6.6732855
