MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,132.5661,49.25135,37.97907,-11.967715,35.911423,9.071534,15.402207,38.714672,-0.7726397,12.805006,1.7049041,3.9084554,-2.9383829,26.048931,124.15724,29.635988,2.0312526,-17.122295,-40.75545,13.814268,-25.220297,46.019157,4.1326733,-0.06389443,28.484224,-1.5225354,2.0432994,9.429123,14.031985,69.31262,-9.355202,50.258972,17.889217,31.446175,3.0330927,8.771877
FEB,67.007935,35.253136,52.114307,1.8941963,-3.3381636,-20.62005,-23.00415,12.860642,13.060233,-30.705362,25.76068,2.9436343,5.8083525,92.420204,142.06213,-22.797033,32.877773,4.948314,24.336704,-5.856994,-2.4048834,29.89646,-13.170365,32.060604,44.300602,16.619213,3.9186418,3.0640974,-3.949769,0.95092654,26.783468,45.028606,-7.946622,0.034448363,-4.5230646,57.02867
MAR,75.96242,222.04813,113.43189,26.604805,14.109328,4.875191,-3.7509563,-10.612173,5.7146053,19.841875,-37.959354,5.3633523,-4.133972,100.774506,271.48663,-2.465763,61.814274,7.5317583,26.884972,8.71914,19.060677,130.26054,8.511084,66.59378,2.2663658,1.5676115,-1.7009254,-5.194679,-19.515364,5.159739,-11.015189,71.303635,7.6445827,-11.9038105,0.28643358,3.6056569
APR,131.69388,277.62863,140.52837,42.72566,23.43946,19.11509,24.804384,5.875801,-2.2123537,-6.7399526,6.911175,-4.6170387,5.0363307,70.52847,181.25003,16.904903,75.398674,-2.5624938,30.395237,0.59780383,-0.44133013,45.856876,62.629322,-21.258503,4.707151,20.81177,-0.94221467,7.3635683,54.086617,40.00291,10.875732,-9.602357,15.883978,-16.360731,4.964218,0.376406
MAY,225.72365,329.2879,437.36072,79.49425,16.736652,-23.660786,25.29665,1.5857475,2.7870352,16.6593,125.109055,9.385252,-0.9589063,77.968254,51.040047,63.498894,220.5706,-19.657913,367.598,8.348475,11.51944,239.78468,30.36184,90.05292,1.3187432,48.596962,10.885792,95.38451,266.11316,68.155754,21.368086,38.414856,4.4992537,18.427036,-13.799393,-9.724414
JUN,481.9991,745.22754,368.8156,324.44162,160.38094,82.051674,713.6377,144.67119,84.949486,5.67194,386.25128,82.387955,44.415653,140.12372,41.394062,98.55436,500.6593,354.3841,355.86536,70.625435,223.71385,290.7368,145.18472,291.86838,25.392765,66.16949,27.6243,192.98264,596.1314,73.2453,79.58048,51.490265,18.621704,9.923759,34.713097,226.80312
JUL,568.8643,734.95874,112.75489,209.8344,355.5207,227.49474,658.5917,298.68036,294.50455,423.2572,218.43422,356.50995,109.050804,139.15059,150.83595,271.3539,807.7025,513.2775,147.35855,259.70053,157.01004,167.45384,221.43152,316.49527,84.117355,70.677414,73.45816,147.307,656.2417,65.18514,-13.392612,274.20587,326.44965,302.66614,94.165405,394.9914
AUG,216.77187,213.9071,548.81976,408.11154,440.25958,150.64398,264.6642,131.21895,126.55712,184.44162,282.52496,-73.50182,99.333626,267.20883,198.14685,228.1156,427.99637,616.51746,114.64492,139.35265,328.69165,164.05423,174.11261,270.78235,124.25503,89.27734,56.213406,280.20502,552.70245,97.412926,172.42358,265.34912,152.10905,94.440704,72.20847,170.21501
SEP,453.39093,366.31332,187.17822,227.49017,170.63132,169.33649,342.2869,22.91632,128.17622,66.85464,258.5438,197.4034,105.92011,168.41327,142.84183,232.17862,345.85236,117.35326,225.9722,157.66704,124.15506,279.5434,181.84535,300.0135,88.32653,116.245346,101.782906,132.6217,373.235,106.46228,136.93735,187.89435,257.87692,190.35011,-34.962547,392.63907
OCT,275.7803,99.51394,140.69876,-21.091835,9.55894,59.26502,185.18352,31.635727,11.257516,66.41558,141.99825,9.475659,15.477515,48.857975,20.31441,84.179375,366.3933,177.98694,111.67806,8.033617,24.485374,58.817394,79.25192,112.75222,-3.3155901,173.38461,9.27713,93.33743,86.78054,216.64093,37.82834,55.57606,85.24042,37.554615,-9.650961,9.1026945
