MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,86.94756,24.281918,22.119694,7.0723276,14.621322,3.123533,12.427299,29.764462,3.7485,2.692004,6.6689262,0.9113335,8.954068,67.97282,47.222836,22.699041,35.56722,2.4329994,2.8157008,2.2944515,10.830414,9.036669,1.7479395,21.926466,18.903845,6.851724,1.1371591,3.196569,5.6937585,33.024048,22.24393,39.913418,8.99485,12.391445,0.8936736,9.657539
FEB,37.240665,22.611149,26.81532,10.528257,6.43716,3.5297787,5.587881,11.650511,12.113914,6.050041,25.391314,0.9675766,1.5284219,101.65513,148.92044,7.1834197,44.120926,5.8775053,19.887558,2.8815362,10.997967,9.671501,10.02777,17.670668,25.645012,8.364488,0.7554316,2.184688,12.623726,7.6106057,5.28842,84.97467,2.1828818,12.048803,1.8858253,73.08935
MAR,6.8929963,180.86246,173.48329,18.72932,1.42256,19.295086,29.692854,5.2948046,3.4451585,6.96554,39.72846,0.16137081,1.5051056,102.11015,312.1402,39.93623,46.4929,12.521683,29.013378,2.150979,17.43592,115.48909,1.0456634,14.028585,19.420614,1.1809107,0.44813228,0.39530155,90.04446,17.821909,9.871024,65.89586,2.9145098,1.8429184,6.6854787,20.488432
APR,169.27702,212.33951,175.76105,32.76483,18.509201,30.131926,10.046192,11.882115,2.1694276,4.7187347,55.755203,0.33320946,10.025679,61.141747,175.55746,16.090696,53.172535,16.345419,38.670147,3.5437958,3.4580414,148.78271,34.61601,17.291607,5.2127404,13.933248,1.2822611,21.0605,121.31931,12.473717,19.261784,6.977299,9.009896,3.2867532,2.7750916,0.85486215
MAY,230.3483,270.7393,389.91937,76.65879,10.101276,43.994183,20.42089,10.509034,0.82820636,2.882235,111.07434,2.7330236,7.6427045,77.05914,22.376963,65.35398,408.19696,77.33859,9.654611,28.854914,3.54059,250.67186,34.489365,80.17126,14.399009,21.64195,2.077902,92.90077,306.37726,20.909357,18.527905,73.67655,4.8698053,9.994695,6.263061,17.25741
JUN,419.35724,716.8722,415.74567,345.29736,187.10716,131.69124,1076.5978,144.11029,22.274858,11.491288,377.91174,84.07864,13.651819,108.742065,63.45529,153.29507,793.037,107.40977,395.56747,79.90981,78.89582,296.35126,95.44112,182.65614,23.763624,65.82195,55.37583,202.64104,438.54996,55.891262,182.42807,52.82107,78.215935,138.29933,23.289679,233.7141
JUL,594.5658,410.0297,268.87262,340.0309,367.09442,181.8252,461.92157,244.47357,277.17215,418.53745,399.35904,248.23364,97.630875,137.00725,107.376175,341.37222,854.33044,1600.7106,274.4673,240.86787,11.757027,275.86755,165.26247,446.62256,78.02377,28.886774,75.32897,142.67833,530.8263,64.2099,36.65112,148.31894,266.00366,329.56143,115.90425,367.5877
AUG,229.90205,189.03288,258.16766,357.53052,383.50705,122.07224,378.4118,193.95717,125.53525,228.10126,251.3209,24.881159,74.76494,273.72495,220.79263,273.6162,297.19446,668.6525,223.96841,252.3962,158.61925,246.43825,188.1173,353.35724,110.32042,77.893776,92.5802,328.96527,475.97314,4.0621395,167.7889,228.83655,186.9973,227.07422,39.49623,183.38145
SEP,402.7212,294.57812,177.18184,238.6694,232.92152,157.4137,132.19762,202.89595,39.3384,190.81053,234.3416,189.8122,189.20753,143.0661,164.05275,282.31732,254.73438,322.49466,256.4841,241.31122,180.84093,297.15952,123.709114,266.95532,99.44647,152.83511,78.19334,160.14555,334.70255,116.051155,138.30688,232.38406,178.19733,72.72851,28.073898,372.05994
OCT,174.80571,181.10782,190.6781,21.92642,51.497337,150.48254,204.39206,5.615929,7.0379157,144.48671,103.45756,12.548414,28.679564,7.4400353,5.736116,82.602806,340.81143,10.26549,40.897823,15.026702,9.366957,175.91377,38.945652,193.66217,2.2961254,169.36966,29.009823,180.69768,12.449686,120.25366,111.820366,16.729227,64.66965,7.1714406,6.3628416,9.760452
NOV,265.29062,16.809574,2.5587766,3.249224,7.8463225,124.33323,17.944975,13.909641,3.072252,17.426743,14.918989,5.840791,2.2130947,9.630402,48.393795,19.637894,208.62842,20.64422,0.057505164,95.30868,27.643795,22.898005,7.1269107,68.24154,6.107927,32.624966,15.690955,2.98581,32.72021,139.00905,31.434074,13.459367,5.8980923,40.91706,3.1065874,9.519156
DEC,172.90999,5.200699,2.2155771,5.814383,3.1878827,23.643887,66.064026,12.485482,0.19232756,16.56136,17.66598,1.4351518,3.7343574,18.983398,5.9609017,6.4511414,71.38107,15.4858055,65.79233,5.3487463,8.545182,44.30653,9.857898,29.489979,12.809011,43.02133,3.7640948,24.598148,1.7194456,207.32072,5.672677,6.08604,41.988087,15.765555,10.001678,13.594095
