MONTH,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,54.462925,4.0071354,16.926077,9.286285,14.26977,9.45649,1.3317764,21.600203,4.9772377,14.432041,12.428838,2.3652499,16.250883,76.99938,70.56138,15.212035,12.466853,1.3201916,49.20112,4.3585877,5.332347,14.1622305,4.198246,11.710486,17.115162,5.8894916,2.5522008,4.1560073,13.819026,24.137138,7.2817793,56.618435,14.959074,11.786102,0.78070474,20.329273
FEB,28.217678,4.7919917,31.435715,14.186733,18.15751,11.599254,0.7945672,22.715069,4.6926026,15.411207,21.313314,0.82998323,18.433681,85.08923,89.31801,21.734224,16.030478,0.60897005,14.347818,1.0888412,5.298233,38.998337,5.1249275,18.493221,27.161728,0.18090187,2.1719296,5.3588147,23.861177,13.709239,12.360882,64.24239,10.545477,4.949794,2.5080712,17.443186
MAR,31.11712,8.210711,78.126625,14.3701725,15.253286,8.179475,5.9052386,14.474663,1.8057368,7.519121,29.18256,0.7999013,8.255399,83.183525,119.101456,12.692133,38.116188,1.0968395,20.990044,3.477182,7.673897,79.89874,8.035756,20.589418,17.91095,5.369275,0.28575453,10.217926,44.47005,20.430494,13.338355,54.378124,10.780584,3.987503,1.369513,5.7554126
APR,68.373055,31.205656,203.65843,16.367283,16.529123,26.267525,29.940195,5.1126738,4.5689874,8.657354,43.708424,1.1994095,6.1419315,59.820187,79.81843,19.118233,111.50127,3.523732,35.185135,10.30237,6.089669,174.9427,23.408243,33.1069,12.207915,19.189054,1.3753445,41.78775,111.32409,43.48794,19.872425,36.986477,7.868867,2.283611,0.506717,5.3924065
MAY,359.84293,43.849407,341.16583,49.637356,20.655146,73.7768,124.328835,11.713848,11.783582,17.448156,106.82507,4.3225536,14.9003935,52.4177,54.998737,45.06919,238.82002,33.13415,233.22945,21.986576,18.308317,299.58557,47.112274,63.6002,21.077127,46.941082,3.8156915,84.503876,268.62048,76.29826,18.049421,50.321877,12.171002,4.8658133,12.796385,7.502557
JUN,466.86334,83.88037,507.99515,177.18404,192.446,119.24774,841.06335,153.10571,66.78691,123.7308,242.3596,117.60317,60.939655,94.736786,53.4651,177.66162,678.1075,688.29193,430.44043,129.55905,151.26422,457.56555,96.517365,210.4864,49.792145,66.94681,84.248,119.88202,537.7789,55.622444,140.29999,159.53775,162.99814,97.54121,42.314667,65.57758
JUL,406.0553,75.45607,497.14536,321.3136,388.3828,180.53244,1133.3024,418.6053,230.2494,329.0087,316.21747,341.75482,148.35388,241.09006,129.92622,334.1033,737.35284,1083.1102,393.48645,232.65392,153.99084,451.8512,108.82357,349.4603,157.7553,84.247696,119.30599,205.2315,648.69543,74.337265,156.3828,385.58038,261.33154,327.17825,27.935423,256.8639
AUG,403.84613,58.816013,401.9259,296.00912,378.53152,177.64162,715.2168,399.5037,165.23799,285.10394,305.52316,256.1425,94.72922,222.88028,153.0758,301.56888,440.4648,684.93744,228.73271,153.27655,145.91722,421.8845,97.01139,353.6363,96.53236,123.03618,109.85093,150.3873,518.96454,96.88623,156.07146,364.30402,252.09462,256.2473,69.122025,233.17912
SEP,436.2852,49.074112,309.92145,235.59023,211.19405,194.62779,300.97772,215.76422,93.910515,207.1823,239.80002,149.00562,60.099968,89.971794,80.00123,241.70404,258.57193,353.81335,170.93732,130.4107,190.9039,322.4413,159.87872,240.17705,46.496666,167.39622,109.82569,120.91544,423.13232,118.21009,134.48082,192.84232,136.84575,191.88737,38.830048,156.95549
OCT,287.4844,13.740897,153.78117,56.897854,61.887127,225.59636,187.51874,44.985565,12.917638,42.560314,114.121666,19.093746,14.179697,17.724518,21.578691,85.31436,302.33,114.23626,280.25888,60.48545,55.06711,181.02371,72.49959,113.480034,3.131353,176.10445,8.502625,119.27501,143.54276,208.72604,52.859097,38.07562,45.392094,30.656847,3.5156448,24.772991
NOV,234.0258,0.7283097,25.60552,8.311972,10.879103,111.42902,63.928097,10.717577,1.9582083,4.558468,21.153572,6.566332,3.2239902,12.562097,22.831541,20.469126,166.64027,24.479847,198.37125,28.36355,29.857386,49.49642,35.740204,27.315273,2.9625921,95.800804,6.2896495,47.499733,16.12955,194.45964,23.459799,8.384312,16.722286,10.453717,1.6452017,2.1440675
DEC,161.98814,1.5579723,8.80045,4.3030353,5.9341345,8.389325,10.70422,12.278184,2.988297,6.7551527,6.44917,1.5430517,9.702751,28.519878,41.001312,2.529906,40.734898,3.4794734,93.06308,7.989656,7.3678985,13.431208,8.05751,5.335884,11.785814,45.41924,1.0707086,12.434083,5.9991484,92.65355,3.571087,21.10864,8.2279625,6.288381,2.568094,9.065397
